"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"Cicero Falcons Football Concession S","8592 Fergerson ROAD,  Cicero","09/20/2025","Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;","0","0","1","Food Service Establishment - Food Service Establishment","Onondaga County","ONONDAGA","8592 Fergerson ROAD","Cicero","13039","335100","CICERO","Cicero Falcons Football Concession Stand","01/31/2027",,"Cicero Falcons, Inc.","Corasaniti","Andrea","555831","Inspection","Funnel cake fries, french fries, hot dogs, hamburgers.  All cooked to order.","NY","(43.163869, -76.060365)"
"RUSSIAN ORTHODOX CONVENT","100 SMITH ROAD,  NANUET","01/08/2026","Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","1","0","1","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","100 SMITH ROAD","NANUET","10954","435000","CLARKSTOWN","RUSSIAN ORTHODOX CONVENT - Kitchen","11/30/2026",,,"ORTHODOX CONVENT","RUSSIAN","535524","Inspection","Please be aware that any violation of the NYS Sanitary Code Subpart 14-1 may be subject to a civil penalty up to $2,000 per day.","NY","(41.110541, -74.021824)"
"KEUKA COLLEGE","141 CENTRAL AVENUE,  KEUKA PARK","05/30/2025","No violations found.","0","0","0","Institutional Food Service - College Food Service","Geneva District Office","YATES","141 CENTRAL AVENUE","KEUKA PARK","14478","615300","JERUSALEM","WOLF DEN @ KEUKA COMMONS","08/31/2026",,"AVI FOODSYSTEMS INC","BRAMLEY","LISA","918226","Inspection","No violations observed. All temperatures adequate.","NY","(42.616773, -77.091395)"
"LOLA'S CAFE & CATERING","131 WASHINGTON STREET,  POUGHKEEPSIE","12/08/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean;","0","0","2","Food Service Establishment - Restaurant/Catering Operation","Dutchess County","DUTCHESS","131 WASHINGTON STREET","POUGHKEEPSIE","12601","130200","POUGHKEEPSIE","LOLA'S CAFE & CATERING","08/31/2025",,"TKK RESTAURANT CORP","KOWALSKI","EDWARD","521027","Inspection",,"NY","(41.711157, -73.929558)"
"WHY COFFEE SHOP","1319 MAIN STREET,  NIAGARA FALLS","10/17/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Restaurant","Niagara County","NIAGARA","1319 MAIN STREET","NIAGARA FALLS","14301","310200","NIAGARA FALLS","WHY COFFEE SHOP","10/31/2026",,"WHY COFFEE SHOP","RONA ZIMMERMAN","MARTI PERRIGO","286151","Inspection","Permit and choking poster posted|Cold Holds below 45 degrees F|Hot Holds over 140F|Thermometers in Fridges: OK|Bathrooms: OK|Handwashing Sink: OK|Dry Storage: OK|3-Bay Sink (50 ppm Cl ) (Air dry): OK|Wipe Cloth Bucket (100 ppm Cl ): OK|Thermometer (Food): OK|Cooking Temps: OK|Hand Barriers: OK|Hair Restraints: OK|Bar Area: OK","NY","(43.101359, -79.052214)"
"LATINOS AMERICAN GRILL","3 LAKE  STREET,  MONROE","10/23/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","3 LAKE  STREET","MONROE","10950","352600","MONROE","Latinos American Grill","03/31/2026",,"Latinos American Grill Inc.","Maria Olga Cortes Santos","Rogelio Santos","945322","Re-Inspection","Violations from previous inspection corrected","NY","(41.328561, -74.187256)"
"Rancho Viejo Mexican Restaurant","12 ELLICOTT STREET,  Batavia","11/24/2025","Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;","1","0","6","Food Service Establishment - Food Service Establishment","Genesee County","GENESEE","12 ELLICOTT STREET","Batavia","14020","180100","BATAVIA","Rancho Viejo Mexican Restaurant","10/01/2026",,"Rancho Viejo Mexican Restaurant LLC","Leon","Samuel","772055","Inspection","A digital metal stemmed thermometer is available for use. Gloves were observed in use. An adequate sanitizer is utilized. Discussed methods to prevent contamination between raw and ready to eat food items. Discussed hot holding methods. All cited violations to be corrected in the timeframe given.","NY","(42.997673, -78.187265)"
"SAM'S SEAFOOD & STEAKHOUSE","281 NORTH COMRIE AVENUE,  JOHNSTOWN","09/10/2025","Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45°F during cold holding, except smoked fish not kept at or below 38°F during cold holding.; Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; Item  5E-  Critical Violation [RED] Enough refrigerated storage equipment is not present, properly designed, maintained or operated so that all potentially hazardous foods are cooled properly and stored below 45°F as required.; Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140°F during hot holding.; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","6","0","2","Food Service Establishment - Restaurant","Herkimer District Office","FULTON","281 NORTH COMRIE AVENUE","JOHNSTOWN","12095","170200","JOHNSTOWN","SAM'S SEAFOOD & STEAKHOUSE","01/31/2026",,"ROMANAS ITALIAN KITCHEN, INC.","VAHAVIOLOS","SARANTOS","716677","Inspection",,"NY","(43.018809, -74.361785)"
"PAPA JOHNS (GATES)","24 HINCHEY ROAD,  ROCHESTER","01/21/2026","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","4","Food Service Establishment - Restaurant","Monroe County","MONROE","24 HINCHEY ROAD","ROCHESTER","14624","275300","GATES","PAPA JOHNS (GATES)",,,,,,"1197671","Inspection",,"NY","(43.139523, -77.671555)"
"SHALIMAR RESTAURANT OF TROY","407 FULTON STREET,  TROY","11/25/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","407 FULTON STREET","TROY","12180","410202","TROY","SHALIMAR RESTAURANT OF TROY","09/30/2026",,,"SULTAN","MOHAMMED","301707","Inspection","all corrections from last year are completed","NY","(42.732286, -73.688298)"
"DUNKIN DONUTS - OAKWOOD AVE","310 OAKWOOD AVENUE,  TROY","04/28/2025","Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","0","0","1","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","310 OAKWOOD AVENUE","TROY","12182","410202","TROY","DUNKIN DONUTS","11/30/2026",,"OAKWOOD DONUTS,  LLC","GARCIA","IVO","537818","Inspection","Cooler in front of facility had a temperature recorded at 58 degrees. Cooler was only storing coffee additives. When employee investigated, cooler was partially unplugged, leading to unexpected high temperature. Cooler was plugged back in at time of inspection. After 20 minutes, internal thermometer inside cooler was reading 40 degrees.","NY","(42.78345, -73.655043)"
"The Kopper Keg Restaurant","11 East Main STREET,  Cuba","12/17/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Allegany County","ALLEGANY","11 East Main STREET","Cuba","14727","026400","CUBA","The Kopper Keg Restaurant","06/30/2026",,,"Shawl","Ellen","255042","Inspection","No violations observed at time of inspection. Floor plans needed for new kitchen area.","NY","(42.21744, -78.275179)"
"GLAD RAG SALOON","29 HOLMES ROAD,  PORTER CORNERS","08/06/2025","Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 14A-   Insects, rodents present; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;","1","0","4","Food Service Establishment - Restaurant","Saratoga County","SARATOGA","29 HOLMES ROAD","PORTER CORNERS","12859","455700","GREENFIELD","GLAD RAG SALOON","02/28/2026",,"GLAD RAG SALOON LLC","ALLEN","DONNA","1123835","Inspection","All violations are subject to enforcement action.","NY","(43.1947, -73.86086)"
"AMERICAN LEGION POST #34","1513 PALMYRA  STREET,  SHORTSVILLE","05/14/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Geneva District Office","ONTARIO","1513 PALMYRA  STREET","SHORTSVILLE","14548","345800","MANCHESTER","AMERICAN LEGION POST #34","09/30/2026",,"TURNER SCHRADER POST 34 INC","DAVIS","DOUGLAS","326103","Inspection","No violations observed.|Discussed need to use gloves when preparing bar fruit/ garnishes.","NY","(42.9577, -77.23024)"
"EDWARD R. CROSBY ELEMENTARY SCHOOL","767 NEIGHBORHOOD ROAD,  LAKE KATRINE","01/09/2026","Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","2","Institutional Food Service - School K-12 Food Service","Ulster County","ULSTER","767 NEIGHBORHOOD ROAD","LAKE KATRINE","12449","556700","ULSTER","EDWARD R. CROSBY ELEMENTARY SCHOOL","08/31/2026",,"KINGSTON CITY SCHOOL DISTRICT","BAGANZ","JOSEPH","780588","Inspection","Gloves and hair restraints in use.  Hand wash sinks OK. Chicken at 151F. Fries in hot box at 161.  Milk in cooler at 27F. Discussed dish machine sanitize cycle.","NY","(41.982575, -73.997475)"
"BORG WARNER AUTOMOTIVE","800 WARREN ROAD,  ITHACA","01/13/2026","No violations found.","0","0","0","Food Service Establishment - Restaurant","Tompkins County","TOMPKINS","800 WARREN ROAD","ITHACA","14850","545600","LANSING","BORG WARNER - BLDG","03/31/2026",,"AMERICAN FOOD & VENDING ENTERPRISING, INC","DUNBAR-TUN","PATRICIA","605966","Inspection","Part I -  No violations observed|Part II - No violation observed","NY","(42.494936, -76.468496)"
"SUNRISE DINER","3201 SUNRISE HIGHWAY,  WANTAGH","11/12/2025","Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;","1","0","4","Food Service Establishment - Food Service Establishment","Nassau  County","NASSAU","3201 SUNRISE HIGHWAY","WANTAGH","11793","295050","HEMPSTEAD","SUNRISE DINER","08/31/2026",,"SNACK HOUSE INC",,,"577640","Inspection","EH - fmtc exp.  March 2027 |GP - fmtc exp. March 2027|80 seats|Grade A|Permit expires Aug 2026","NY","(40.671988, -73.511518)"
"WEST MIDDLE SCHOOL CAFETERIA","West Middle AVENUE,  BINGHAMTON","09/22/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Institutional Food Service - School K-12 Food Service","Broome County","BROOME","West Middle AVENUE","BINGHAMTON","13905","030100","BINGHAMTON","WEST MIDDLE SCHOOL CAFETERIA","08/31/2026",,"BINGHAMTON CITY SCHOOL DISTRICT","KLOCK","STEVE","256743","Inspection",,"NY","(42.095188, -75.937691)"
"BOULEVARD BOWL/ ON THE BOULEVARD","1315 ERIE BOULEVARD,  SCHENECTADY","03/18/2025","No violations found.","0","0","0","Food Service Establishment - Frozen Desserts","Schenectady County","SCHENECTADY","1315 ERIE BOULEVARD","SCHENECTADY","12305","460100","SCHENECTADY","BOULEVARD BOWL FD","12/31/2026",,,,,"853943","Inspection",,"NY","(42.818674, -73.939472)"
"BEST WESTERN UNIVERSITY INN","3051 WEST STATE STREET,  OLEAN","11/13/2025","Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45°F during cold holding, except smoked fish not kept at or below 38°F during cold holding.; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","1","0","1","Food Service Establishment - Restaurant","Cattaraugus County","CATTARAUGUS","3051 WEST STATE STREET","OLEAN","14760","045000","ALLEGANY","BEST WESTERN UNIVERSITY INN FSE","06/30/2026",,,,,"506011","Inspection",,"NY","(42.096191, -78.505302)"
"ELM DRIVE ELEMENTARY","12 ELM DRIVE,  MILLBROOK","09/19/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Dutchess County","DUTCHESS","12 ELM DRIVE","MILLBROOK","12545","132800","WASHINGTON","ELM DRIVE ELEMENTARY","06/30/2025",,"MILLBROOK CENTRAL SCHOOL DISTRICT","GARCIA","ELLIOT","439348","Re-Inspection",,"NY","(41.78679, -73.693813)"
"WOODBURY JEWISH CENTER NURSERY SCHOO","200 SOUTH WOODS  ROAD,  WOODBURY","07/20/2023","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Nassau  County","NASSAU","200 SOUTH WOODS  ROAD","WOODBURY","11797","295217","OYSTER BAY","WOODBURY JEWISH CENTER NURSERY SCHOO","12/31/2040","WOODBURY JEWISH CENTER NURSERY SCHOO","WOODBURY JEWISH CENTER","GROSSMAN","VIVIEN","578684","Inspection","46 students enrolled |ages 2-3 years|snacks ie goldfish |Bagel Boss in  Hicksville delivers food and its served immediately vegetarian |residential kitchen |no stove|refrigerators have thermometer |single service ware used|gloves throughout |single worker policy discussed |single level faucet in restrooms |Restrooms stocked with soap and paper towels |Grade “A”|Acceptable for licensing","NY","(40.823895, -73.480167)"
"SPRING STREET DELI","132 SPRING STREET,  SARATOGA SPRINGS","10/17/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","5","Food Service Establishment - Restaurant/Catering Operation","Saratoga County","SARATOGA","132 SPRING STREET","SARATOGA SPRINGS","12866","450100","SARATOGA SPGS.","SPRING STREET DELI","02/28/2026",,"TONE & BRUMS","GARGANO","ANTHONY","1120650","Inspection","All violations must be corrected and are subject to enforcement action.","NY","(43.078587, -73.778936)"
"CHRISSY'S CRAVINGS","152 MAIN STREET,  SCHAGHTICOKE","08/20/2025","Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140°F during hot holding.; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","1","0","2","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","152 MAIN STREET","SCHAGHTICOKE","12154","416100","SCHAGHTICOKE","CHRISSY'S CRAVINGS","07/31/2026",,"Chrissy's Diner, LLC","NEWTON","CHRISTINA","561605","Inspection",,"NY","(42.89727, -73.586283)"
"CAPRESSO COFFEE BAR","215 MAIN STREET,  ONEONTA","06/10/2025","Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas;","0","0","1","Food Service Establishment - Food Service Establishment","Oneonta District Office","OTSEGO","215 MAIN STREET","ONEONTA","13820","380100","ONEONTA","CAPRESSO COFFEE BAR","04/30/2027",,"KLASIK CAPRESSO COFFEE BAR","Irving","Rohan","764611","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.|3. Education regarding the Department’s Food Allergen Law was provided.  The operator was advised that they must post a notice to their employees raising food allergy awareness.  The notice must contain information on 1) the process to follow when a customer notifies an employee of a food allergy, 2) how to avoid cross-contact, and 3) the procedures to be followed in the event a customer experiences an allergic reaction, including when to call 9-1-1. The notice must be posted in a conspicuous location, and in at least one of the languages spoken by each employee, provided those languages are among those translated by the Department. The law also requires that food service establishments include the following statement on their menu or menu assembly: “If you have a food allergy, please notify us,” along with a message informing customers that allergen information is available for prepared food items. If the menu is written in a language other than English and is one that the Department makes a translation for, the menu statement must be written in that language. Please be advised that online menus must also include this statement, and a method by which a customer can indicate if they have a food allergy.  In response to this law, the Department created a Food Allergy Awareness notice containing information for food service establishment employees on food allergies. This notice, and the required menu statement, are available on the Department’s website in English as well as the top six languages spoken in the State; https://www.health.ny.gov/environmental/indoors/food_safety/guidance.htm","NY","(42.454347, -75.061531)"
"YMCA-WEIU","27 WILLIAM STREET,  AUBURN","07/24/2025","No violations found.","0","0","0","SED Summer Feeding Prog. - SED Satellite Feeding Site","Cayuga County","CAYUGA","27 WILLIAM STREET","AUBURN","13021","050100","AUBURN","YMCA-WEIU SUMMER FEED SITE",,,,,,"1152453","Inspection",,"NY","(42.929029, -76.567058)"
"CAPITAL 1 FRIED CHICKEN","108 CENTRAL AVENUE,  ALBANY","09/30/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","4","Food Service Establishment - Restaurant","Albany County","ALBANY","108 CENTRAL AVENUE","ALBANY","12206","010100","ALBANY","CAPITAL 1 FRIED CHICKEN","06/30/2026",,"C1FC LLC","ZAHER","MOHAMMAD","799523","Inspection","NOI excellent compliance","NY","(42.659982, -73.767139)"
"CIA - POST ROAD BREW HOUSE","1946 CAMPUS  DRIVE,  HYDE PARK","12/05/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Dutchess County","DUTCHESS","1946 CAMPUS  DRIVE","HYDE PARK","12538","135600","HYDE PARK","CIA - POST ROAD BREW HOUSE","12/31/2025",,"THE CULINARY INSTITUTE OF AMERICA","KRUPIN","MARIA","273867","Inspection",,"NY","(41.746196, -73.931858)"
"NAUTICAL BOWLS","927 HOLT ROAD #400,  WEBSTER","12/01/2025","Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11D-   Non food contact surfaces of equipment not clean; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","5","Food Service Establishment - Restaurant","Monroe County","MONROE","927 HOLT ROAD #400","WEBSTER","14580","276700","WEBSTER","NAUTICAL BOWLS",,,,,,"1156458","Inspection",,"NY","(43.21406, -77.44875)"
"RENSKI'S ICE CREAM SHOP","12 EAST STREET,  EDMESTON","06/25/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Ice Cream Store","Oneonta District Office","OTSEGO","12 EAST STREET","EDMESTON","13335","385400","EDMESTON","RENSKI'S ICE CREAM SHOP","06/30/2027",,"RENSKI'S ICE CREAM SHOP, LLC.","MORSE","RENEE","1067969","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.|3. Education regarding the Department’s Food Allergen Law was provided.  The operator was advised that they must post a notice to their employees raising food allergy awareness.  The notice must contain information on 1) the process to follow when a customer notifies an employee of a food allergy, 2) how to avoid cross-contact, and 3) the procedures to be followed in the event a customer experiences an allergic reaction, including when to call 9-1-1. The notice must be posted in a conspicuous location, and in at least one of the languages spoken by each employee, provided those languages are among those translated by the Department. The law also requires that food service establishments include the following statement on their menu or menu assembly: “If you have a food allergy, please notify us,” along with a message informing customers that allergen information is available for prepared food items. If the menu is written in a language other than English and is one that the Department makes a translation for, the menu statement must be written in that language. Please be advised that online menus must also include this statement, and a method by which a customer can indicate if they have a food allergy.  In response to this law, the Department created a Food Allergy Awareness notice containing information for food service establishment employees on food allergies. This notice, and the required menu statement, are available on the Department’s website in English as well as the top six languages spoken in the State; https://www.health.ny.gov/environmental/indoors/food_safety/guidance.htm","NY","(42.69773, -75.243243)"
"FAITH TO FACE MINISTRIES (pn)","35 TUXILL AVENUE,  CORNING","11/15/2023","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Hornell District Office","STEUBEN","35 TUXILL AVENUE","CORNING","14830","503200","CORNING","FAITH TO FACE MINISTRIES","06/15/2026",,"FAITH TO FACE MINISTRIES","VAUGHN","MARK","864557","Inspection","The purpose of this visit was to conduct the routine inspection of the kitchen.|Cold holding temperatures were satisfactory (creamer packets, condiments) 38F|No hot holding at the time of inspection|No cooking at the time of inspection|No reheating at the time of inspection|Kitchen found clean and organized.|The inspector discussed food allergens with the operator.|Probe style food thermometer found in drawer and found to be acceptable. Reminder any dial thermometers must run in the range of 0-220F.|Bathroom doors found to be self closing with hand wash sinks fully stocked |The inspector discussed Permission to Operate with the operator at the time of the visit. The current permit is valid through June 2024.  If there are any questions regarding a permission to operate verses a food permit please do not hesitate to contact the Office (607-324-8371).","NY","(42.130845, -77.039988)"
"PADDY'S PUB","66 BROADWAY,  HORNELL","02/20/2025","Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","6","Food Service Establishment - Restaurant","Hornell District Office","STEUBEN","66 BROADWAY","HORNELL","14843","500200","HORNELL","PADDY'S PUB","02/15/2026",,"RQKE BALE, INC.","BALE","KRISTINA","822440","Inspection","The following items were observed over the course of the inspection:|- All staff utilizing gloves/PPE for food preparation/service.|- Hot-held items (gravy, cheese, au jus, fries, tater tots) at or above 140dF.|- Cold-held items (milk, raw meats, roast beef, sliced tomatoes) at or below 45dF.|- Toxic chemicals properly labeled and stored.|- Commercial dishwasher had at least 50ppm of chlorine.|- Calibrated digital probe thermometer available for monitoring food temperatures.","NY","(42.325705, -77.660729)"
"PEACE, Inc. Senior Nutrition @ John","823 State Fair BOULEVARD,  Syracuse","08/05/2025","No violations found.","0","0","0","SOFA Food Service - SOFA Prep Site-State Office for the Aging","Onondaga County","ONONDAGA","823 State Fair BOULEVARD","Syracuse","13209","335600","GEDDES","PEACE, Inc. Senior Nutrition @ John Carno Center","01/31/2027",,"PEACE INC.","Brown","Carolyn","1099201","Inspection","All conditions satisfactory at time of inspection. Milk and cheese in cooler with ice noted at 45F. Beef hot holding in oven noted at 150F.|At the time of inspection: |• Current 2025 Food Service Permit is posted.|• Metal stem/probe thermometer noted at facility.|• All coolers noted keeping potentially hazardous foods at or below 45F.|• All hot holding units noted keeping potentially hazardous foods at or above 140F.|DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following: Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|*All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant. |Please note this permit expires on January 31st 2027. Permit renewal paperwork will be mailed at the end of December.","NY","(43.09022, -76.24101)"
"ITALIAN VILLAGE","1084 WILMOT ROAD,  SCARSDALE","10/02/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","2","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","1084 WILMOT ROAD","SCARSDALE","10583","590400","NEW ROCHELLE","ITALIAN VILLAGE","02/28/2027",,"F & M SCARSDALE PIZZA CORP.","KRASNIQI","MENTOR","671387","Inspection","Measured temperatures are adequate at time of inspection. Deficiencies are discussed with operator at scene.","NY","(40.983859, -73.777044)"
"CHINA STAR","600 WEST MAIN STREET,  ROCHESTER","12/02/2025","Item 14A-   Insects, rodents present;","0","0","1","Food Service Establishment - Restaurant","Monroe County","MONROE","600 WEST MAIN STREET","ROCHESTER","14608","270104","ROCHESTER","CHINA STAR","12/31/2019",,,,,"804949","Re-Inspection",,"NY","(43.152104, -77.628458)"
"Ripley Central School FSE","12 N State St,  Ripley","03/26/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Chautauqua County","CHAUTAUQUA","12 N State St","Ripley","14775","067000","RIPLEY","Ripley Central School FSE","09/30/2027",,,"Shearer","Jennifer","263345","Inspection","Valid permit posted, expires September 30, 2025.","NY","(42.207939, -79.704262)"
"INN AT GRIST IRON, THE","4880 ROUTE 414,  BURDETT","03/04/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Hornell District Office","SCHUYLER","4880 ROUTE 414","BURDETT","14818","482200","HECTOR","INN AT GRIST IRON, THE - CONTINENTAL FOOD","08/01/2026",,,,,"971608","Inspection","Cold holding was 45dF or below |Internal prob thermometer available |Ambient temperature thermometer available |food allergen notice posted","NY","(42.470173, -76.867246)"
